doc_id,rank,keyword,tfidf_score
DOC0050,1,comment,0.542429
DOC0050,2,repli,0.359462
DOC0050,3,articl,0.272245
DOC0050,4,latest,0.190404
DOC0050,5,inform,0.186986
DOC0050,6,wikiproject,0.186935
DOC0050,7,ago,0.16766
DOC0050,8,talk,0.138859
DOC0050,9,retriev,0.137952
DOC0050,10,linguist,0.137604
